match_id,num,eu_cp_id,eu_cp_name,home_win_odd0,draw_odd0,away_win_odd0,home_win_p0,draw_p0,away_win_p0,return_rate0,home_win_odd1,draw_odd1,away_win_odd1,home_win_p1,draw_p1,away_win_p1,return_rate1,kelly_home,kelly_draw,kelly_away,datestr,eu_cp_name_ex,flag1,flag2
2894738,1409,148843944,Lunubet,1.48,4.33,7,64.38,22.01,13.61,95.29,1.47,4.5,6.66,64.63,21.11,14.26,95,0.93,1.00,0.98,"2025,12-1,23,19,59,00",Lunube*,0,0
2894738,1258,148386999,Marathonbet.ru,1.65,4.1,5.5,58.74,23.64,17.62,96.92,1.55,4.3,6.45,62.47,22.52,15.01,96.83,0.98,0.95,0.95,"2025,12-1,23,19,54,00",Marathon*.ru,0,0
2894738,816,148372101,Marathonbet,1.64,4.15,5.55,59.15,23.37,17.48,97,1.55,4.3,6.45,62.47,22.52,15.01,96.83,0.98,0.95,0.95,"2025,12-1,23,19,58,00",Marathonb*(俄罗斯),0,0
2894738,1321,148372102,Megapari,1.6,4.06,5.4,59.16,23.31,17.53,94.65,1.49,4.34,6.6,63.73,21.88,14.39,94.96,0.94,0.96,0.97,"2025,12-1,23,19,48,00",Megapar*,0,0
2894738,1319,148733513,Melbet,1.57,4,6,60.45,23.73,15.82,94.91,1.49,4.34,6.65,63.8,21.9,14.3,95.06,0.94,0.96,0.98,"2025,12-1,23,19,59,00",Melbe*,0,0
2894738,520,148482552,MeridianBet,1.51,3.9,5,59.2,22.92,17.88,89.39,1.5,4.1,6.6,62.77,22.96,14.27,94.15,0.95,0.91,0.97,"2025,12-1,23,19,19,00",Meridian*(爱尔兰),0,0
2894738,1384,148452307,Mostbet,1.5,4.2,6.6,63.11,22.54,14.34,94.67,1.5,4.4,6.9,64.17,21.88,13.95,96.26,0.95,0.97,1.01,"2025,12-1,23,19,58,00",Most*,0,0
2894738,886,148695897,Mozzart,1.58,3.9,6,59.94,24.28,15.78,94.7,1.53,4.3,7,63.52,22.6,13.88,97.18,0.97,0.95,1.03,"2025,12-1,23,19,59,00",Mozz*,0,0
2894738,1387,148392070,Mystake,1.54,3.8,4.79,57.91,23.47,18.62,89.18,1.46,4.42,6.73,64.63,21.35,14.02,94.36,0.92,0.98,0.99,"2025,12-1,23,17,10,00",Mystak*,0,0
2894738,1324,148472168,N1 BET,1.5,4.1,6.3,62.35,22.81,14.84,93.52,1.53,4.1,6.4,62.03,23.15,14.83,94.9,0.97,0.91,0.94,"2025,12-1,23,19,15,00",N1 BE*,0,0
2894738,1364,148472170,N1BET.de,1.5,4.1,6.3,62.35,22.81,14.84,93.52,1.51,4.2,6.4,62.68,22.53,14.79,94.64,0.95,0.93,0.94,"2025,12-1,23,19,52,00",N1BE*.de(德国),0,0
2894738,1363,148485706,N1BET.it,1.5,4.1,6.3,62.35,22.81,14.84,93.52,1.51,4.2,6.4,62.68,22.53,14.79,94.64,0.95,0.93,0.94,"2025,12-1,23,19,52,00",N1BE*.it(意大利),0,0
2894738,1365,148472169,N1BET.se,1.5,4.1,6.3,62.35,22.81,14.84,93.52,1.51,4.2,6.4,62.68,22.53,14.79,94.64,0.95,0.93,0.94,"2025,12-1,23,19,52,00",N1BE*.se(瑞典),0,0
2894738,1413,148472174,Neospin,1.5,4.1,6.3,62.35,22.81,14.84,93.52,1.49,4.2,6.9,63.67,22.59,13.75,94.86,0.94,0.93,1.01,"2025,12-1,23,03,26,00",Neospi*,0,0
2894738,991,148482569,Netbet.fr,1.41,3.75,5.4,61.08,22.97,15.95,86.13,1.55,3.8,5.3,58.81,23.99,17.2,91.16,0.98,0.84,0.78,"2025,12-1,17,08,52,00",Net*.fr,0,0
2894738,1389,148693681,Nine Casino,1.57,3.95,5.6,59.6,23.69,16.71,93.57,1.5,4.5,7,64.62,21.54,13.85,96.92,0.95,1.00,1.03,"2025,12-1,23,19,49,00",Nine Casin*,0,0
2894738,180,148798616,Norway,1.55,3.75,5.2,58.43,24.15,17.42,90.57,1.5,4.2,5.9,62.06,22.16,15.78,93.09,0.95,0.93,0.87,"2025,12-1,23,18,57,00",Nor*(挪威),0,0
2894738,733,148300203,novibet,1.59,3.95,5.6,59.3,23.87,16.84,94.28,1.52,4.35,6.2,62.71,21.91,15.37,95.32,0.96,0.96,0.91,"2025,12-1,23,19,35,00",novi*,0,0
2894738,1270,148482553,OlyBet,1.52,4.25,6.4,62.69,22.42,14.89,95.29,1.52,4.1,6.5,62.32,23.1,14.57,94.73,0.96,0.91,0.96,"2025,12-1,23,19,19,00",Oly*,0,0
2894738,1418,148804121,Oscarspin,1.57,3.95,5.6,59.6,23.69,16.71,93.57,1.55,4,5.8,60.43,23.42,16.15,93.67,0.98,0.89,0.85,"2025,12-1,21,00,52,00",Oscarspi*,0,0
2894738,934,148482554,PAF.es,1.52,4.3,6.5,63,22.27,14.73,95.76,1.53,4.1,6.5,62.17,23.2,14.63,95.12,0.97,0.91,0.96,"2025,12-1,23,19,41,00",PA*.es,0,0
2894738,826,148482534,Paddy Power,1.5,4,6.5,62.28,23.35,14.37,93.41,1.44,4,6,62.5,22.5,15,90,0.91,0.89,0.88,"2025,12-1,23,18,57,00",Paddy Po*(爱尔兰),0,0
2894738,646,148713386,PariMatch,1.53,3.75,5.75,59.73,24.37,15.89,91.39,1.5,4.33,6.5,63.4,21.96,14.63,95.11,0.95,0.96,0.96,"2025,12-1,23,19,58,00",PariMa*(俄罗斯),0,0
2894738,750,148482555,Parionsweb,1.41,3.75,5.2,60.71,22.83,16.46,85.6,1.47,4.5,7.3,65.44,21.38,13.18,96.2,0.93,1.00,1.07,"2025,12-1,23,18,12,00",Parions*,0,0
2894738,1318,148798019,Paripesa,1.57,4,6,60.45,23.73,15.82,94.91,1.55,4.06,6.2,61.28,23.4,15.32,94.99,0.98,0.90,0.91,"2025,12-1,21,04,08,00",Paripes*,0,0
2894738,1353,148391594,Pin-Up,1.6,4,5.4,58.95,23.58,17.47,94.32,1.51,4.55,6.55,64,21.24,14.76,96.65,0.95,1.01,0.96,"2025,12-1,23,19,56,00",Pin-U*,0,0
2894738,986,148482556,PlanetWin365,1.5,4,6.25,61.92,23.22,14.86,92.88,1.52,4.25,6.25,62.47,22.34,15.19,94.95,0.96,0.94,0.92,"2025,12-1,23,18,57,00",PlanetWin*,0,0
2894738,751,148482557,PMU,1.4,3.7,5.9,61.89,23.42,14.69,86.65,1.42,4,5.9,62.67,22.25,15.08,88.99,0.90,0.89,0.87,"2025,12-1,23,19,41,00",PM*(法国),0,0
